# S&P 500 companies
"ticker","callsign","company","sector"
"MMM","NYSE:MMM","3M Company","Industrials"
"ABT","NYSE:ABT","Abbott Laboratories","Health Care"
"ABBV","NYSE:ABBV","AbbVie Inc.","Health Care"
"ACN","NYSE:ACN","Accenture plc","Information Technology"
"ATVI","NASDAQ:ATVI","Activision Blizzard","Information Technology"
"AYI","NYSE:AYI","Acuity Brands Inc","Industrials"
"ADBE","NASDAQ:ADBE","Adobe Systems Inc","Information Technology"
"AMD","NASDAQ:AMD","Advanced Micro Devices Inc","Information Technology"
"AAP","NYSE:AAP","Advance Auto Parts","Consumer Discretionary"
"AES","NYSE:AES","AES Corp","Utilities"
"AET","NYSE:AET","Aetna Inc","Health Care"
"AMG","NYSE:AMG","Affiliated Managers Group Inc","Financials"
"AFL","NYSE:AFL","AFLAC Inc","Financials"
"A","NYSE:A","Agilent Technologies Inc","Health Care"
"APD","NYSE:APD","Air Products & Chemicals Inc","Materials"
"AKAM","NASDAQ:AKAM","Akamai Technologies Inc","Information Technology"
"ALK","NYSE:ALK","Alaska Air Group Inc","Industrials"
"ALB","NYSE:ALB","Albemarle Corp","Materials"
"ARE","NYSE:ARE","Alexandria Real Estate Equities Inc","Real Estate"
"ALXN","NASDAQ:ALXN","Alexion Pharmaceuticals","Health Care"
"ALGN","NASDAQ:ALGN","Align Technology","Health Care"
"ALLE","NYSE:ALLE","Allegion","Industrials"
"AGN","NYSE:AGN","Allergan, Plc","Health Care"
"ADS","NYSE:ADS","Alliance Data Systems","Information Technology"
"LNT","NYSE:LNT","Alliant Energy Corp","Utilities"
"ALL","NYSE:ALL","Allstate Corp","Financials"
"GOOGL","NASDAQ:GOOGL","Alphabet Inc Class A","Information Technology"
"GOOG","NASDAQ:GOOG","Alphabet Inc Class C","Information Technology"
"MO","NYSE:MO","Altria Group Inc","Consumer Staples"
"AMZN","NASDAQ:AMZN","Amazon.com Inc","Consumer Discretionary"
"AEE","NYSE:AEE","Ameren Corp","Utilities"
"AAL","NASDAQ:AAL","American Airlines Group","Industrials"
"AEP","NYSE:AEP","American Electric Power","Utilities"
"AXP","NYSE:AXP","American Express Co","Financials"
"AIG","NYSE:AIG","American International Group, Inc.","Financials"
"AMT","NYSE:AMT","American Tower Corp A","Real Estate"
"AWK","NYSE:AWK","American Water Works Company Inc","Utilities"
"AMP","NYSE:AMP","Ameriprise Financial","Financials"
"ABC","NYSE:ABC","AmerisourceBergen Corp","Health Care"
"AME","NYSE:AME","AMETEK Inc","Industrials"
"AMGN","NASDAQ:AMGN","Amgen Inc","Health Care"
"APH","NYSE:APH","Amphenol Corp","Information Technology"
"APC","NYSE:APC","Anadarko Petroleum Corp","Energy"
"ADI","NASDAQ:ADI","Analog Devices, Inc.","Information Technology"
"ANSS","NASDAQ:ANSS","ANSYS Inc","Information Technology"
"ANTM","NYSE:ANTM","Anthem Inc.","Health Care"
"AON","NYSE:AON","Aon plc","Financials"
"APA","NYSE:APA","Apache Corporation","Energy"
"AIV","NYSE:AIV","Apartment Investment & Management","Real Estate"
"AAPL","NASDAQ:AAPL","Apple Inc.","Information Technology"
"AMAT","NASDAQ:AMAT","Applied Materials Inc","Information Technology"
"ADM","NYSE:ADM","Archer-Daniels-Midland Co","Consumer Staples"
"ARNC","NYSE:ARNC","Arconic Inc","Industrials"
"AJG","NYSE:AJG","Arthur J. Gallagher & Co.","Financials"
"AIZ","NYSE:AIZ","Assurant Inc","Financials"
"T","NYSE:T","AT&T Inc","Telecommunication Services"
"ADSK","NASDAQ:ADSK","Autodesk Inc","Information Technology"
"ADP","NASDAQ:ADP","Automatic Data Processing","Information Technology"
"AN","NYSE:AN","AutoNation Inc","Consumer Discretionary"
"AZO","NYSE:AZO","AutoZone Inc","Consumer Discretionary"
"AVB","NYSE:AVB","AvalonBay Communities, Inc.","Real Estate"
"AVY","NYSE:AVY","Avery Dennison Corp","Materials"
"BHI","NYSE:BHI","Baker Hughes Inc","Energy"
"BLL","NYSE:BLL","Ball Corp","Materials"
"BAC","NYSE:BAC","Bank of America Corp","Financials"
"BK","NYSE:BK","The Bank of New York Mellon Corp.","Financials"
"BCR","NYSE:BCR","Bard (C.R.) Inc.","Health Care"
"BAX","NYSE:BAX","Baxter International Inc.","Health Care"
"BBT","NYSE:BBT","BB&T Corporation","Financials"
"BDX","NYSE:BDX","Becton Dickinson","Health Care"
"BBBY","NASDAQ:BBBY","Bed Bath & Beyond","Consumer Discretionary"
"BRK.B","NYSE:BRK.B","Berkshire Hathaway","Financials"
"BBY","NYSE:BBY","Best Buy Co. Inc.","Consumer Discretionary"
"BIIB","NASDAQ:BIIB","Biogen Inc.","Health Care"
"BLK","NYSE:BLK","BlackRock","Financials"
"HRB","NYSE:HRB","Block H&R","Financials"
"BA","NYSE:BA","Boeing Company","Industrials"
"BWA","NYSE:BWA","BorgWarner","Consumer Discretionary"
"BXP","NYSE:BXP","Boston Properties","Real Estate"
"BSX","NYSE:BSX","Boston Scientific","Health Care"
"BMY","NYSE:BMY","Bristol-Myers Squibb","Health Care"
"AVGO","NASDAQ:AVGO","Broadcom","Information Technology"
"BF.B","NYSE:BF.B","Brown-Forman Corp.","Consumer Staples"
"CHRW","NASDAQ:CHRW","C. H. Robinson Worldwide","Industrials"
"CA","NASDAQ:CA","CA, Inc.","Information Technology"
"COG","NYSE:COG","Cabot Oil & Gas","Energy"
"CPB","NYSE:CPB","Campbell Soup","Consumer Staples"
"COF","NYSE:COF","Capital One Financial","Financials"
"CAH","NYSE:CAH","Cardinal Health Inc.","Health Care"
"CBOE","NASDAQ:CBOE","CBOE Holdings","Financials"
"KMX","NYSE:KMX","Carmax Inc","Consumer Discretionary"
"CCL","NYSE:CCL","Carnival Corp.","Consumer Discretionary"
"CAT","NYSE:CAT","Caterpillar Inc.","Industrials"
"CBG","NYSE:CBG","CBRE Group","Real Estate"
"CBS","NYSE:CBS","CBS Corp.","Consumer Discretionary"
"CELG","NASDAQ:CELG","Celgene Corp.","Health Care"
"CNC","NYSE:CNC","Centene Corporation","Health Care"
"CNP","NYSE:CNP","CenterPoint Energy","Utilities"
"CTL","NYSE:CTL","CenturyLink Inc","Telecommunication Services"
"CERN","NASDAQ:CERN","Cerner","Health Care"
"CF","NYSE:CF","CF Industries Holdings Inc","Materials"
"SCHW","NYSE:SCHW","Charles Schwab Corporation","Financials"
"CHTR","NASDAQ:CHTR","Charter Communications","Consumer Discretionary"
"CHK","NYSE:CHK","Chesapeake Energy","Energy"
"CVX","NYSE:CVX","Chevron Corp.","Energy"
"CMG","NYSE:CMG","Chipotle Mexican Grill","Consumer Discretionary"
"CB","NYSE:CB","Chubb Limited","Financials"
"CHD","NYSE:CHD","Church & Dwight","Consumer Staples"
"CI","NYSE:CI","CIGNA Corp.","Health Care"
"XEC","NYSE:XEC","Cimarex Energy","Energy"
"CINF","NASDAQ:CINF","Cincinnati Financial","Financials"
"CTAS","NASDAQ:CTAS","Cintas Corporation","Industrials"
"CSCO","NASDAQ:CSCO","Cisco Systems","Information Technology"
"C","NYSE:C","Citigroup Inc.","Financials"
"CFG","NYSE:CFG","Citizens Financial Group","Financials"
"CTXS","NASDAQ:CTXS","Citrix Systems","Information Technology"
"CLX","NYSE:CLX","The Clorox Company","Consumer Staples"
"CME","NASDAQ:CME","CME Group Inc.","Financials"
"CMS","NYSE:CMS","CMS Energy","Utilities"
"COH","NYSE:COH","Coach Inc.","Consumer Discretionary"
"KO","NYSE:KO","Coca-Cola Company (The)","Consumer Staples"
"CTSH","NASDAQ:CTSH","Cognizant Technology Solutions","Information Technology"
"CL","NYSE:CL","Colgate-Palmolive","Consumer Staples"
"CMCSA","NASDAQ:CMCSA","Comcast Corp.","Consumer Discretionary"
"CMA","NYSE:CMA","Comerica Inc.","Financials"
"CAG","NYSE:CAG","Conagra Brands","Consumer Staples"
"CXO","NYSE:CXO","Concho Resources","Energy"
"COP","NYSE:COP","ConocoPhillips","Energy"
"ED","NYSE:ED","Consolidated Edison","Utilities"
"STZ","NYSE:STZ","Constellation Brands","Consumer Staples"
"COO","NYSE:COO","The Cooper Companies","Health Care"
"GLW","NYSE:GLW","Corning Inc.","Information Technology"
"COST","NASDAQ:COST","Costco Wholesale Corp.","Consumer Staples"
"COTY","NYSE:COTY","Coty, Inc","Consumer Staples"
"CCI","NYSE:CCI","Crown Castle International Corp.","Real Estate"
"CSRA","NYSE:CSRA","CSRA Inc.","Information Technology"
"CSX","NASDAQ:CSX","CSX Corp.","Industrials"
"CMI","NYSE:CMI","Cummins Inc.","Industrials"
"CVS","NYSE:CVS","CVS Health","Consumer Staples"
"DHI","NYSE:DHI","D. R. Horton","Consumer Discretionary"
"DHR","NYSE:DHR","Danaher Corp.","Health Care"
"DRI","NYSE:DRI","Darden Restaurants","Consumer Discretionary"
"DVA","NYSE:DVA","DaVita Inc.","Health Care"
"DE","NYSE:DE","Deere & Co.","Industrials"
"DLPH","NYSE:DLPH","Delphi Automotive PLC","Consumer Discretionary"
"DAL","NYSE:DAL","Delta Air Lines Inc.","Industrials"
"XRAY","NASDAQ:XRAY","Dentsply Sirona","Health Care"
"DVN","NYSE:DVN","Devon Energy Corp.","Energy"
"DLR","NYSE:DLR","Digital Realty Trust Inc","Real Estate"
"DFS","NYSE:DFS","Discover Financial Services","Financials"
"DISCA","NASDAQ:DISCA","Discovery Communications-A","Consumer Discretionary"
"DISCK","NASDAQ:DISCK","Discovery Communications-C","Consumer Discretionary"
"DISH","NASDAQ:DISH","Dish Network","Consumer Discretionary"
"DG","NYSE:DG","Dollar General","Consumer Discretionary"
"DLTR","NASDAQ:DLTR","Dollar Tree","Consumer Discretionary"
"D","NYSE:D","Dominion Resources","Utilities"
"DOV","NYSE:DOV","Dover Corp.","Industrials"
"DOW","NYSE:DOW","Dow Chemical","Materials"
"DPS","NYSE:DPS","Dr Pepper Snapple Group","Consumer Staples"
"DTE","NYSE:DTE","DTE Energy Co.","Utilities"
"DD","NYSE:DD","Du Pont (E.I.)","Materials"
"DUK","NYSE:DUK","Duke Energy","Utilities"
"DXC","NYSE:DXC","DXC Technology","Information Technology"
"ETFC","NASDAQ:ETFC","E*Trade","Financials"
"EMN","NYSE:EMN","Eastman Chemical","Materials"
"ETN","NYSE:ETN","Eaton Corporation","Industrials"
"EBAY","NASDAQ:EBAY","eBay Inc.","Information Technology"
"ECL","NYSE:ECL","Ecolab Inc.","Materials"
"EIX","NYSE:EIX","Edison Int'l","Utilities"
"EW","NYSE:EW","Edwards Lifesciences","Health Care"
"EA","NASDAQ:EA","Electronic Arts","Information Technology"
"EMR","NYSE:EMR","Emerson Electric Company","Industrials"
"ETR","NYSE:ETR","Entergy Corp.","Utilities"
"EVHC","NYSE:EVHC","Envision Healthcare","Health Care"
"EOG","NYSE:EOG","EOG Resources","Energy"
"EQT","NYSE:EQT","EQT Corporation","Energy"
"EFX","NYSE:EFX","Equifax Inc.","Industrials"
"EQIX","NASDAQ:EQIX","Equinix","Real Estate"
"EQR","NYSE:EQR","Equity Residential","Real Estate"
"ESS","NYSE:ESS","Essex Property Trust, Inc.","Real Estate"
"EL","NYSE:EL","Estee Lauder Cos.","Consumer Staples"
"ES","NYSE:ES","Eversource Energy","Utilities"
"RE","NYSE:RE","Everest Re Group Ltd","Financials"
"EXC","NYSE:EXC","Exelon Corp.","Utilities"
"EXPE","NASDAQ:EXPE","Expedia Inc.","Consumer Discretionary"
"EXPD","NASDAQ:EXPD","Expeditors International","Industrials"
"ESRX","NASDAQ:ESRX","Express Scripts","Health Care"
"EXR","NYSE:EXR","Extra Space Storage","Real Estate"
"XOM","NYSE:XOM","Exxon Mobil Corp.","Energy"
"FFIV","NASDAQ:FFIV","F5 Networks","Information Technology"
"FB","NASDAQ:FB","Facebook, Inc.","Information Technology"
"FAST","NASDAQ:FAST","Fastenal Co","Industrials"
"FRT","NYSE:FRT","Federal Realty Investment Trust","Real Estate"
"FDX","NYSE:FDX","FedEx Corporation","Industrials"
"FIS","NYSE:FIS","Fidelity National Information Services","Information Technology"
"FITB","NASDAQ:FITB","Fifth Third Bancorp","Financials"
"FE","NYSE:FE","FirstEnergy Corp","Utilities"
"FISV","NASDAQ:FISV","Fiserv Inc","Information Technology"
"FLIR","NASDAQ:FLIR","FLIR Systems","Information Technology"
"FLS","NYSE:FLS","Flowserve Corporation","Industrials"
"FLR","NYSE:FLR","Fluor Corp.","Industrials"
"FMC","NYSE:FMC","FMC Corporation","Materials"
"FL","NYSE:FL","Foot Locker Inc","Consumer Discretionary"
"F","NYSE:F","Ford Motor","Consumer Discretionary"
"FTV","NYSE:FTV","Fortive Corp","Industrials"
"FBHS","NYSE:FBHS","Fortune Brands Home & Security","Industrials"
"BEN","NYSE:BEN","Franklin Resources","Financials"
"FCX","NYSE:FCX","Freeport-McMoRan Inc.","Materials"
"GPS","NYSE:GPS","Gap Inc.","Consumer Discretionary"
"GRMN","NASDAQ:GRMN","Garmin Ltd.","Consumer Discretionary"
"IT","NYSE:IT","Gartner Inc","Information Technology"
"GD","NYSE:GD","General Dynamics","Industrials"
"GE","NYSE:GE","General Electric","Industrials"
"GGP","NYSE:GGP","General Growth Properties Inc.","Real Estate"
"GIS","NYSE:GIS","General Mills","Consumer Staples"
"GM","NYSE:GM","General Motors","Consumer Discretionary"
