# UFO sightings reported to the National UFO Reporting Center 
# http://www.nuforc.org/webreports
# date range: 2000-01-01 to 2015-12-31
# NOTE: Data is largely unsanitized!
#
dtime,city,state,ufoshape
2015-12-31 23:59:00,Salem,UT,Sphere
2015-12-31 23:59:00,Eugene,OR,Fireball
2015-12-31 23:55:00,Fairbanks,AK,Circle
2015-12-31 23:45:00,Port Saint Lucie,FL,Sphere
2015-12-31 23:45:00,Peterborough (Canada),ON,Circle
2015-12-31 23:00:00,Wilkes-Barre/Hazleton (between),PA,Oval
2015-12-31 23:00:00,Steamboat Springs,CO,Light
2015-12-31 23:00:00,Saint George,UT,Other
2015-12-31 22:55:00,Sacramento,CA,Diamond
2015-12-31 22:00:00,Las Vegas,NV,Light
2015-12-31 22:00:00,Scottsdale,AZ,Light
2015-12-31 22:00:00,Titusville,FL,Light
2015-12-31 21:40:00,Grande Prairie (Canada),AB,Formation
2015-12-31 20:50:00,Albuquerque,NM,Circle
2015-12-31 20:40:00,Menifee,CA,Fireball
2015-12-31 20:30:00,Bellingham,WA,Light
2015-12-31 20:15:00,Bay City,TX,Circle
2015-12-31 20:10:00,Ypsilanti,MI,Sphere
2015-12-31 20:00:00,Gadsden,AL,Fireball
2015-12-31 19:30:00,Canaan,NH,Sphere
2015-12-31 19:25:00,Plainfield,VT,Unknown
2015-12-31 19:00:00,Southwest UK (UK/England),AL,Triangle
2015-12-31 19:00:00,Fairbanks,AK,
2015-12-31 18:00:00,Sequim,WA,Triangle
2015-12-31 17:30:00,San Ysidro,CA,Circle
2015-12-31 17:00:00,Windsor (Canada),,
2015-12-31 15:00:00,Monmouth,OR,Egg
2015-12-31 11:45:00,Simpsonville,SC,Circle
2015-12-31 09:00:00,Bessemer City,NC,Changing
2015-12-31 05:33:00,Olympia,WA,Unknown
2015-12-31 01:00:00,Miami,FL,Sphere
2015-12-31 00:02:00,Post Falls,ID,Circle
2015-12-31 00:00:00,Bangor,PA,Circle
2015-12-31 00:00:00,Avon/Eagle,CO,Light
2015-12-30 22:00:00,Portland,OR,Light
2015-12-30 22:00:00,Cle Elum,WA,Fireball
2015-12-30 20:00:00,Harpersville,AL,Oval
2015-12-30 19:30:00,Springfield,OR,Changing
2015-12-30 19:10:00,Ocean Shores,WA,Other
2015-12-30 18:38:00,Santa Maria,CA,Circle
2015-12-30 16:50:00,Orient,OR,Cylinder
2015-12-30 09:15:00,Lee's Summit,MO,Sphere
2015-12-29 22:20:00,Reno,NV,Circle
2015-12-29 22:00:00,Tehachapi,CA,Unknown
2015-12-29 21:00:00,Brandon,FL,Oval
2015-12-29 20:07:00,Palmetto,FL,Fireball
2015-12-29 18:17:00,Cullman,AL,Light
2015-12-29 15:30:00,Hilldale,WV,Rectangle
2015-12-29 15:05:00,Walnut Creek,CA,Fireball
2015-12-29 05:00:00,Maryville,TN,Cigar
2015-12-29 04:40:00,Jacksonville,FL,Sphere
2015-12-29 01:00:00,Cottonwood,AZ,Other
2015-12-28 23:45:00,Sacramento,CA,Other
2015-12-28 22:15:00,Glendale (La Crecenta,CA,Triangle
2015-12-28 20:49:00,Boise,ID,Formation
2015-12-28 19:45:00,Bahamas (Bermuda triangle),,Sphere
2015-12-28 18:07:00,Owensboro,KY,Triangle
2015-12-28 02:00:00,Evansville,IN,Disk
2015-12-27 23:05:00,Gill,CO,Cigar
2015-12-27 20:00:00,Londonderry,NH,Triangle
2015-12-27 18:20:00,Baton Rouge,LA,Formation
2015-12-27 16:36:00,Riverside,CA,Light
2015-12-27 08:25:00,Ottawa (Canada),ON,Triangle
2015-12-26 20:50:00,Hamden,CT,Light
2015-12-26 20:00:00,Sarasota,FL,Fireball
2015-12-26 19:30:00,Campobello,SC,Triangle
2015-12-26 18:45:00,Cape Coral,FL,Other
2015-12-26 18:20:00,Hinesville,GA,Circle
2015-12-26 18:00:00,Redmond,WA,Circle
2015-12-26 17:15:00,DeLuz/Temecula,CA,Cylinder
2015-12-26 02:15:00,Eagan,MN,
2015-12-26 00:30:00,Elmhurst,NY,Circle
2015-12-25 00:00:00,Port Coquitlam (Canada),BC,Sphere
2015-12-25 22:30:00,Upton/Millbury,MA,Formation
2015-12-25 22:00:00,Moncks Corner,SC,Fireball
2015-12-25 21:30:00,Blaine,MN,Other
2015-12-25 21:00:00,Cape Coral,FL,Light
2015-12-25 21:00:00,Norwalk,CT,Light
2015-12-25 20:30:00,Ellington,CT,Other
2015-12-25 20:30:00,Bellingham,WA,Formation
2015-12-25 20:18:00,Londonderry,NH,Cigar
2015-12-25 19:30:00,Albuquerque,NM,Other
2015-12-25 19:00:00,Greene,NY,Fireball
2015-12-25 16:35:00,Beaverton,OR,Circle
2015-12-25 16:30:00,University Place,WA,Formation
