# UFO sightings reported to the National UFO Reporting Center 
# http://www.nuforc.org/webreports
# date range: 2016-01-01 to 2016-12-31
# NOTE: Data is largely unsanitized!
#
dtime,city,state,ufoshape
2016-12-31 23:56:00,Phoenix,AZ,Triangle
2016-12-31 23:50:00,Anchorage,AK,Fireball
2016-12-31 23:45:00,Wasilla,AK,Oval
2016-12-31 23:35:00,Schaumburg,IL,Light
2016-12-31 23:33:00,North Port,FL,Sphere
2016-12-31 23:00:00,Santa Cruz,CA,Light
2016-12-31 23:00:00,Northglenn,CO,Fireball
2016-12-31 23:00:00,Campbell,CA,Triangle
2016-12-31 23:00:00,Satellite Beach,FL,Circle
2016-12-31 23:00:00,Saint George,UT,Light
2016-12-31 23:00:00,Fuquay,NC,
2016-12-31 22:59:00,Coeur d'Alene,ID,Fireball
2016-12-31 22:50:00,Ponte Vedra Beach,FL,Oval
2016-12-31 22:36:00,Boise,ID,Circle
2016-12-31 22:24:00,Indialantic,FL,Formation
2016-12-31 22:00:00,New Smyrna Beach,FL,Circle
2016-12-31 22:00:00,Hallam,PA,Circle
2016-12-31 20:30:00,Wasilla,AK,Circle
2016-12-31 20:00:00,Redmond,OR,Sphere
2016-12-31 20:00:00,Green Bay,WI,Light
2016-12-31 19:41:00,Lutz,FL,Formation
2016-12-31 19:00:00,Victor,MT,Sphere
2016-12-31 18:55:00,Budakeszi (Budapest)(Hungary),,Flash
2016-12-31 17:00:00,Mesa,AZ,Egg
2016-12-31 11:10:00,Eugene,OR,Diamond
2016-12-31 10:13:00,Deer Park,NY,Other
2016-12-31 09:50:00,Arvada,CO,Unknown
2016-12-31 09:20:00,Santa Fe,NM,Fireball
2016-12-31 02:45:00,Phoenix,AZ,Flash
2016-12-31 02:25:00,Columbia,SC,Circle
2016-12-31 01:32:00,Novato,CA,Changing
2016-12-31 00:30:00,Cleburne,TX,Oval
2016-12-31 00:30:00,Burlington,NJ,Circle
2016-12-31 00:00:00,Turner,KS,Unknown
2016-12-30 22:00:00,Myrtle Beach,SC,Light
2016-12-30 22:00:00,Dandridge,TN,Light
2016-12-30 21:40:00,Spring Hill,FL,Cylinder
2016-12-30 20:30:00,Newport Beach,CA,Light
2016-12-30 20:00:00,Miss Point,MS,Unknown
2016-12-30 20:00:00,New River,AZ,Fireball
2016-12-30 18:42:00,Gresham,OR,Light
2016-12-30 18:30:00,San Antonio,TX,Fireball
2016-12-30 15:55:00,Richland,WA,Triangle
2016-12-30 14:42:00,Huntsville,AL,Formation
2016-12-30 02:39:00,Providence,RI,Light
2016-12-30 01:30:00,Toronto (Canada),ON,Light
2016-12-30 01:30:00,Delmar,DE,Sphere
2016-12-30 01:30:00,Delmar,DE,Sphere
2016-12-30 01:01:00,Indianapolis,IN,Diamond
2016-12-29 22:23:00,North Las Vegas,NV,Light
2016-12-29 22:23:00,North Las Vegas,NV,Light
2016-12-29 22:00:00,Hartselle,AL,Triangle
2016-12-29 21:30:00,Davenport,WA,Unknown
2016-12-29 21:30:00,Davenport,WA,Fireball
2016-12-29 21:30:00,Davenport,WA,Unknown
2016-12-29 20:40:00,Delray Beach,FL,Egg
2016-12-29 20:00:00,El Monte,CA,Circle
2016-12-29 20:00:00,Dillon,SC,Chevron
2016-12-29 20:00:00,Patterson,LA,Circle
