# The data on UFO sightings was scraped from the monthly 
# UFO sightings reported to the National UFO Reporting Center 
# http://www.nuforc.org/webreports
# date range: 2017-01-01 to 2017-12-31
# NOTE: Data is largely unsanitized!
#
dtime,city,state,ufoshape
2017-06-15 10:03:00,Denver,CO,Formation
2017-06-14 22:01:00,Beograd (Serbia),,Circle
2017-06-14 21:46:00,St. Louis,MO,Light
2017-06-14 20:45:00,Corinth,MS,Unknown
2017-06-14 11:00:00,Durham,NC,Disk
2017-06-14 11:00:00,Leander,TX,Sphere
2017-06-14 02:00:00,Waynesville,MO,Formation
2017-06-14 00:15:00,Los Angeles,CA,Fireball
2017-06-13 22:30:00,Colorado Springs,CO,Light
2017-06-13 21:19:00,Grovetown,GA,Triangle
2017-06-13 21:00:00,Murrieta,CA,Sphere
2017-06-13 10:52:00,Bardstown,KY,Triangle
2017-06-12 22:30:00,Springfield,MO,Light
2017-06-12 22:10:00,Ukiah,CA,Fireball
2017-06-12 21:50:00,Buckeye,AZ,Other
2017-06-12 21:30:00,Yuma,AZ,Circle
2017-06-12 21:10:00,Siliguri (India),,Light
2017-06-12 21:00:00,Donora,PA,Light
2017-06-12 20:45:00,Pocono Lake,PA,Oval
2017-06-12 12:00:00,Minnetonka,MN,Light
2017-06-12 03:45:00,Fortuna,AZ,Unknown
2017-06-12 00:30:00,Redwater (Canada),AB,Other
2017-06-11 00:00:00,Baltimore,MD,Sphere
2017-06-11 23:14:00,Lantana,FL,Oval
2017-06-11 23:00:00,San Leandro,CA,Light
2017-06-11 22:56:00,Rutledge,TN,Disk
2017-06-11 22:45:00,Westminster,MD,Formation
2017-06-11 22:44:00,Rutledge,TN,Other
2017-06-11 22:30:00,Cave Creek,AZ,Disk
2017-06-11 22:00:00,Massillon,OH,Light
2017-06-11 21:25:00,Palmyra,PA,Circle
2017-06-11 19:35:00,Mount Laurel,NJ,Light
2017-06-11 14:30:00,Wilmington,DE,Fireball
2017-06-11 13:30:00,Jacksonville,FL,Sphere
2017-06-11 11:15:00,Lapeer,MI,Light
2017-06-11 10:40:00,Virginia Beach,VA,Rectangle
2017-06-11 04:00:00,Dodge City,KS,Changing
2017-06-10 23:29:00,Vilnius (Lithuania),,Other
2017-06-10 23:00:00,Goffstown,NH,Unknown
2017-06-10 23:00:00,Roseville,OH,Circle
2017-06-10 22:09:00,Shelbyville,IN,Light
2017-06-10 22:00:00,Yakima,WA,Fireball
2017-06-10 21:50:00,Reading,PA,Unknown
2017-06-10 20:50:00,Alexandria,VA,Sphere
2017-06-10 20:45:00,Middletown,CT,Unknown
2017-06-10 20:32:00,Troy,VA,Circle
2017-06-10 15:50:00,Boston,MA,Fireball
2017-06-10 13:00:00,Manalapan,NJ,Sphere
2017-06-10 11:00:00,Croton,IA,Light
2017-06-10 10:15:00,Anderson,CA,Oval
2017-06-10 07:34:00,Long Beach,CA,
2017-06-10 04:20:00,Half Moon Bay,CA,Fireball
2017-06-10 03:15:00,Chester,PA,Disk
2017-06-10 03:00:00,Independence,MO,Changing
2017-06-10 01:00:00,Nanaimo (Canada),BC,Light
2017-06-10 00:00:00,Rabbit Valley,CO,Light
2017-06-09 22:35:00,Hebron,KY,Light
2017-06-09 22:30:00,Cherokee,NC,Circle
2017-06-09 22:30:00,Pleasanton,CA,Triangle
2017-06-09 22:20:00,Eau Claire,WI,Fireball
2017-06-09 22:00:00,Morehead,KY,Light
2017-06-09 22:00:00,Boulder,CO,Circle
2017-06-09 21:50:00,Atoka,TN,
2017-06-09 17:29:00,Anaheim,CA,Sphere
2017-06-09 16:36:00,Salem,OR,Circle
2017-06-09 14:00:00,Round Lake,IL,Oval
2017-06-09 05:00:00,Ballinger,TX,Circle
2017-06-09 03:55:00,Derry,PA,Light
2017-06-09 01:30:00,New Cumberland,WV,Triangle
2017-06-09 00:30:00,Allen Park,MI,Sphere
2017-06-08 23:41:00,Peoria,IL,Oval
2017-06-08 23:00:00,Bremerton,WA,Formation
2017-06-08 22:03:00,Lock Haven,PA,Light
2017-06-08 22:00:00,Prescott Valley,AZ,Formation
2017-06-08 22:00:00,Marietta,GA,Light
2017-06-08 21:50:00,Kalamazoo,MI,Unknown
2017-06-08 21:45:00,Welton,AZ,Chevron
2017-06-08 21:45:00,Paulden,AZ,Light
2017-06-08 21:30:00,Troy,VT,Unknown
2017-06-08 21:00:00,Beloit,WI,Formation
2017-06-08 21:00:00,Portsmouth,VA,Circle
2017-06-08 12:00:00,Brushton,NY,Disk
2017-06-08 09:28:00,Bessemer City,NC,Circle
2017-06-08 04:00:00,Baltimore,MD,Light
2017-06-08 00:00:00,Cushing,TX,Diamond
2017-06-07 23:01:00,New Philadelphia,OH,Triangle
2017-06-07 22:48:00,Bellmore,NY,Light
2017-06-07 21:15:00,Houston,TX,Triangle
2017-06-07 19:00:00,Lynnwood,WA,Circle
2017-06-07 16:45:00,Parker/Aurora,CO,Formation
2017-06-07 15:00:00,Manteno,IL,Disk
2017-06-07 13:30:00,Huntington,NY,Diamond
2017-06-06 23:45:00,Fairfield,OH,Circle
2017-06-06 22:30:00,Seattle,WA,Sphere
2017-06-06 22:30:00,Missoula,MT,Light
2017-06-06 22:00:00,Reno,NV,Circle
2017-06-06 22:00:00,Annapolis,MD,Other
2017-06-06 20:15:00,Borrego Springs,CA,Light
2017-06-06 20:15:00,Kings Beach,CA,Oval
2017-06-06 19:30:00,Reno,NV,Sphere
2017-06-06 19:00:00,Norfolk,VA,Circle
